,,,,Superficie in ettari,
REGIONE,Numero,,a terra,a mare ,totali
Piemonte,4,,110151,0,110151
Valle d'Aosta,1,,23,0,23
Lombardia,5,,3752,0,3752
Trentino-Alto Adige,1,,24,0,24
Veneto,1,,1621,0,1621
Friuli,2,,714,1196,1910
Liguria,2,,2113,167,2280
Emilia-Romagna,1,,25,0,25
Toscana,4,,1457,5339,6796
Umbria,1,,655,0,655
Marche,1,,108,1165,1273
Lazio,1,riperimetrazione Sacco,,,-
Abruzzo,1,,232,0,232
Molise,0,,0,0,0
Campania,2,,1083,2886,3969
Puglia,4,,10465,13458,23923
Basilicata,2,,3645,0,3645
Calabria,1,,874,1448,2322
Sicilia,4,,7488,16910,24398
Sardegna,2,,21625,35164,56789
ITALIA,40,,166055,77733,243788
